 it |          δμ |              δocc orb |    δimp occ |       δGimp |         δG0 |          δΣ 
  1 | 0.00000e+00 |            2.99761e-02 | 2.99761e-02 | 6.15848e-01 | 1.31147e+00 | 3.65704e+00
  2 | 4.69007e-02 |            6.55563e-03 | 6.55563e-03 | 2.36805e-01 | 7.86607e-01 | 1.33052e+00
  3 | 7.93023e-03 |            9.76284e-04 | 9.76284e-04 | 8.34408e-02 | 2.43864e-01 | 4.74106e-01
  4 | 2.93867e-03 |            3.35609e-04 | 3.35609e-04 | 2.77871e-02 | 7.44902e-02 | 1.69296e-01
  5 | 0.00000e+00 |            7.39977e-06 | 7.39977e-06 | 9.11838e-03 | 2.29925e-02 | 5.83248e-02
  6 | 0.00000e+00 |            8.63360e-07 | 8.63360e-07 | 3.42389e-03 | 7.21297e-03 | 1.92148e-02
  7 | 0.00000e+00 |            1.03614e-04 | 1.03614e-04 | 2.24291e-03 | 2.21757e-03 | 4.91908e-03
  8 | 0.00000e+00 |            5.73915e-06 | 5.73915e-06 | 2.12957e-03 | 7.07327e-04 | 2.27845e-03
  9 | 0.00000e+00 |            4.70847e-07 | 4.70847e-07 | 2.10085e-03 | 2.61469e-04 | 1.23708e-03
 10 | 0.00000e+00 |            1.02332e-04 | 1.02332e-04 | 2.22623e-03 | 1.11706e-04 | 3.88006e-03
