 it |         mu | G(beta/2) per orbital |  orbital occs up+down |      impurity occ
  0 |   12.87098 |              -2.59189 |               1.02439 |           1.02439
  1 |   12.87098 |              -1.73728 |               0.99441 |           0.99441
  2 |   12.91788 |              -1.62592 |               1.00097 |           1.00097
  3 |   12.92581 |              -1.60085 |               1.00195 |           1.00195
  4 |   12.92875 |              -1.59428 |               1.00228 |           1.00228
  5 |   12.92875 |              -1.59226 |               1.00227 |           1.00227
  6 |   12.92875 |              -1.59152 |               1.00227 |           1.00227
  7 |   12.92875 |              -1.59470 |               1.00238 |           1.00238
  8 |   12.92875 |              -1.59511 |               1.00238 |           1.00238
  9 |   12.92875 |              -1.59523 |               1.00238 |           1.00238
 10 |   12.92875 |              -1.59197 |               1.00228 |           1.00228
